CAD_ID,count
202300067888,1
202300068051,1
202300053699,1
202300069022,1
202300070025,1
202300070779,1
202300071496,1
202300073563,1
202300073982,1
202300074979,1
202300075709,1
202300068654,1
202300054139,1
202300054487,1
202300054554,1
202300054842,1
202300055514,1
202300057723,1
202300058352,1
202300066528,1
202300058933,1
202300059582,1
202300059658,1
202300060247,1
202300060452,1
202300062033,1
202300066091,1
202300066330,1
202300058684,1
202300185318,1
202300184660,1
202300182783,1
202300182550,1
202300181492,1
202300180442,1
202300180416,1
202300180168,1
202300179756,1
202300178831,1
202300177456,1
202300177405,1
202300176400,1
202300176097,1
202300175073,1
202300131179,1
202300164059,1
202300166203,1
202300168108,1
202300168231,1
202300168513,1
202300168892,1
202300169378,1
202300173914,1
202300169828,1
202300169984,1
202300170106,1
202300170595,1
202300171102,1
202300171110,1
202300172446,1
202300173371,1
202300169637,1
202300200256,1
202300201479,1
202300201512,1
202300202752,1
202300203311,1
202300203570,1
202300203733,1
202300185898,1
202300204558,1
202300204693,1
202300206343,1
202300207045,1
202300208326,1
202300209285,1
202300209492,1
202300210082,1
202300204526,1
202300187821,1
202300188709,1
202300188719,1
202300190540,1
202300190875,1
202300193796,1
202300193894,1
202300200253,1
202300194710,1
202300195695,1
202300196247,1
202300196874,1
202300197216,1
202300198693,1
202300200007,1
202300200010,1
202300194221,1
202300150616,1
202300150614,1
202300150579,1
202300150578,1
202300150372,1
202300149884,1
202300149429,1
202300148439,1
202300147451,1
202300147448,1
202300145997,1
202300145310,1
202300144270,1
202300144010,1
202300144000,1
202300163508,1
202300131591,1
202300132526,1
202300133686,1
202300134923,1
202300135016,1
202300135780,1
202300136581,1
202300143676,1
202300139416,1
202300139980,1
202300140211,1
202300141270,1
202300141445,1
202300141709,1
202300141945,1
202300142346,1
202300136908,1
202300157870,1
202300158984,1
202300159438,1
202300160072,1
202300160185,1
202300160471,1
202300160540,1
202300150896,1
202300160695,1
202300162320,1
202300162946,1
202300162948,1
202300163116,1
202300163274,1
202300163368,1
202300163385,1
202300160687,1
202300150900,1
202300152117,1
202300153071,1
202300153154,1
202300153155,1
202300153217,1
202300153223,1
202300157601,1
202300153634,1
202300154327,1
202300154386,1
202300154534,1
202300155491,1
202300155550,1
202300155562,1
202300156245,1
202300153479,1
202000279789,1
202000278848,1
202000278602,1
202000278090,1
202000277631,1
202000277521,1
202000276953,1
202000276868,1
202000276823,1
202000275773,1
202000274885,1
202000274355,1
202000274107,1
202000273730,1
202000273394,1
202100391225,1
202000256888,1
202000257473,1
202000257810,1
202000258819,1
202000258938,1
202000258939,1
202000259961,1
202000272456,1
202000262197,1
202000262680,1
202000262869,1
202000265200,1
202000266040,1
202000266648,1
202000268864 (1),1
202000270285,1
202000260212,1
202000294384,1
202000294685,1
202000295976,1
202000298658,1
202000298954,1
202000298955,1
202000299970,1
202000280157,1
202000300149,1
202000300213,1
202000300264,1
202000300985,1
202000301030,1
202000302136,1
202000303600,1
202000303715,1
202000300124,1
202000283652,1
202000284688,1
202000284974,1
202000286250,1
202000287018,1
202000287080,1
202000287108,1
202000293502,1
202000288602,1
202000288911,1
202000289684,1
202000289857,1
202000290785,1
202000290845,1
202000290860,1
202000292272,1
202000288474,1
202000227724,1
202000226948,1
202000226542,1
202000225664,1
202000225247,1
202000223777,1
202000223275,1
202000222116,1
202000221750,1
202000221561,1
202000220233,1
202000218245,1
202000217732,1
202000214467,1
202000214205,1
202000256093,1
202000203680,1
202000204673,1
202000204724,1
202000205871,1
202000206394,1
202000207729,1
202000208483,1
202000213219,1
202000209458,1
202000209669,1
202000209851,1
202000209853,1
202000209854,1
202000210906,1
202000211964,1
202000212147,1
202000208824,1
202000239316,1
202000240465,1
202000240479,1
202000240697,1
202000241709,1
202000241887,1
202000242063,1
202000228429,1
202000243107,1
202000244425 (1),1
202000250211,1
202000251885,1
202000251946,1
202000252161,1
202000252163,1
202000255707,1
202000242599,1
202000228941,1
202000230509,1
202000230893,1
202000231755,1
202000231761,1
202000232081,1
202000232219,1
202000239041,1
202000234891,1
202000235529,1
202000235651,1
202000235825,1
202000236027,1
202000236979,1
202000237688,1
202000237951,1
202000234773,1
202000385791,1
202000384747,1
202000383540,1
202000380810,1
202000380421,1
202000380420,1
202000380210,1
202000379123,1
202000376303,1
202000375900,1
202000374877,1
202000374780,1
202000374779,1
202000374672,1
202000369695,1
202000304836,1
202000350645,1
202000350647,1
202000350842,1
202000351581,1
202000352103,1
202000352691,1
202000354361,1
202000366213,1
202000354878,1
202000355129,1
202000355751,1
202000356212,1
202000357257,1
202000362151 (1),1
202000365907,1
202000366075,1
202000354669,1
202100004302,1
202100006362,1
202100008305,1
202100011502,1
202100012243,1
202100014192,1
202100014235,1
202000389038,1
202100015376,1
202100015377,1
202100015540,1
202100015714,1
202100015762,1
202100015858,1
202100017234,1
202100018196,1
202100014247,1
202000389378,1
202000390633,1
202000391278,1
202000391403,1
202000391898,1
202000392010,1
202000393386,1
202100004257,1
202000393892,1
202000394373,1
202000395988,1
202000403827,1
202000404534,1
202000406272,1
202100002135,1
202100002136,1
202000393526,1
202000327365,1
202000327363,1
202000324080,1
202000323783,1
202000323728,1
202000322990,1
202000322748,1
202000321922,1
202000321094,1
202000320749,1
202000319642,1
202000319523,1
202000319463,1
202000317081,1
